segment_name,cluster,logistic_regression,random_forest,xgboost,average_default_rate
High Risk Borrowers,1,0.36595058489384397,0.5973595830234308,0.65259993,0.37578706353749286
Prime Borrowers,3,0.1999375375661379,0.3825517688674513,0.42240462,0.1940622737146995
Moderate Risk Borrowers,0,0.16530153918954343,0.3355369649537804,0.38002107,0.16052489663850442
Credit Rebuilders,2,0.16065798265561784,0.3233937935582252,0.36950114,0.15143448683821353
