segment_name,n_borrowers,pct_of_portfolio,typical_income,typical_interest_rate,typical_loan_grade,typical_dti,typical_employment_length,average_default_rate,risk_tier,cluster_id,mean_predicted_probability
High Risk Borrowers,3494,0.22986842105263158,54381.72283915284,19.04497710360618,D,23.899888348124822,6.058497536945813,0.37578706353749286,High Risk,1,0.5973595830234308
Prime Borrowers,2762,0.18171052631578946,107327.24698044894,13.165293265749456,C,19.69714699493121,7.147134935304991,0.1940622737146995,High Risk,3,0.3825517688674513
Moderate Risk Borrowers,5563,0.36598684210526317,53309.56203667086,11.58978428905267,B,15.704339147635318,5.69087705559906,0.16052489663850442,Moderate Risk,0,0.3355369649537804
Credit Rebuilders,3381,0.2224342105263158,69739.04572020112,10.676601597160602,B,21.607598343685304,6.324550526968382,0.15143448683821353,Moderate Risk,2,0.3233937935582252
