cluster,logistic_regression,random_forest,xgboost,average_default_rate,dataset,segment_name
0,0.3847526452018327,0.3949202577311597,0.3900408149769225,0.3754657494984236,cleaned,High Risk Borrowers
1,0.15982862730756686,0.1605121486865548,0.1591473900099692,0.16099405726634253,cleaned,Moderate Risk Borrowers
2,0.19730945695856258,0.20559440470870172,0.19965049224433473,0.19323497661029146,cleaned,Prime Borrowers
3,0.1547363906775756,0.15509790436715348,0.1559973537710229,0.15182006510802012,cleaned,Credit Rebuilders
