cluster,logistic_regression,random_forest,xgboost,average_default_rate,dataset,segment_name
0,0.15960807251199077,0.160157846039333,0.15878314694914375,0.16052489663850442,winsorized,Moderate Risk Borrowers
1,0.3836402298208317,0.39453734515568684,0.3896300930084163,0.37578706353749286,winsorized,High Risk Borrowers
2,0.15523997667328696,0.15558108512466068,0.15654485161242418,0.15143448683821353,winsorized,Credit Rebuilders
3,0.19886228570360187,0.2060579942524589,0.2000670897060227,0.1940622737146995,winsorized,Prime Borrowers
